model,image,threshold,tp,fp,fn,gt_pixels,pred_pixels,instances,iou,seconds
packaged,CRACK500_20160402_151054_1281_361.jpg,0.5,5026,845,12,5038,5871,1,0.8543260241373449,0.05933220899896696
packaged,CRACK500_20160407_163515_1281_721.jpg,0.1,13050,2115,1845,14895,15165,1,0.7671957671957672,0.06164008299674606
packaged,CRACK500_20160407_163515_1281_721.jpg,0.25,13050,2115,1845,14895,15165,1,0.7671957671957672,0.06164008299674606
packaged,CRACK500_20160407_163515_1281_721.jpg,0.5,13050,2115,1845,14895,15165,1,0.7671957671957672,0.06164008299674606
packaged,CRACK500_20160407_165001_641_1081.jpg,0.1,975,880,886,1861,1855,4,0.3557095950383072,0.06263104099343764
packaged,CRACK500_20160407_165001_641_1081.jpg,0.25,605,116,1256,1861,721,2,0.3060192210419828,0.06263104099343764
packaged,CRACK500_20160407_165001_641_1081.jpg,0.5,0,0,1861,1861,0,0,0.0,0.06263104099343764
packaged,DeepCrack_11165-2.jpg,0.1,2,0,2161,2163,2,1,0.0009246417013407304,0.06024866699590348
packaged,DeepCrack_11165-2.jpg,0.25,0,0,2163,2163,0,0,0.0,0.06024866699590348
packaged,DeepCrack_11165-2.jpg,0.5,0,0,2163,2163,0,0,0.0,0.06024866699590348
packaged,DeepCrack_11165.jpg,0.1,0,0,1989,1989,0,0,0.0,0.05886537499463884
packaged,DeepCrack_11165.jpg,0.25,0,0,1989,1989,0,0,0.0,0.05886537499463884
packaged,DeepCrack_11165.jpg,0.5,0,0,1989,1989,0,0,0.0,0.05886537499463884
packaged,DeepCrack_11188.jpg,0.1,2024,9029,40,2064,11053,1,0.18245740557108087,0.061788416001945734
packaged,DeepCrack_11188.jpg,0.25,0,0,2064,2064,0,0,0.0,0.061788416001945734
packaged,DeepCrack_11188.jpg,0.5,0,0,2064,2064,0,0,0.0,0.061788416001945734
packaged,DeepCrack_11197-4.jpg,0.1,3199,453,2493,5692,3652,7,0.5205858421480879,0.06158716599748004
packaged,DeepCrack_11197-4.jpg,0.25,3194,438,2498,5692,3632,5,0.5210440456769984,0.06158716599748004
packaged,DeepCrack_11197-4.jpg,0.5,0,0,5692,5692,0,0,0.0,0.06158716599748004
packaged,DeepCrack_11218-3.jpg,0.1,9836,516,467,10303,10352,1,0.9091413254459747,0.0604115840033046
packaged,DeepCrack_11218-3.jpg,0.25,9836,516,467,10303,10352,1,0.9091413254459747,0.0604115840033046
packaged,DeepCrack_11218-3.jpg,0.5,9836,516,467,10303,10352,1,0.9091413254459747,0.0604115840033046
packaged,DeepCrack_11269-1.jpg,0.1,4415,728,985,5400,5143,8,0.7204634464751958,0.062104999997245613
packaged,DeepCrack_11269-1.jpg,0.25,4390,708,1010,5400,5098,5,0.7187295350360183,0.062104999997245613
packaged,DeepCrack_11269-1.jpg,0.5,4330,687,1070,5400,5017,3,0.7113520617709873,0.062104999997245613
packaged,DeepCrack_11294.jpg,0.1,2503,2648,395,2898,5151,3,0.45131626397403535,0.059931208001216874
packaged,DeepCrack_11294.jpg,0.25,2434,2364,464,2898,4798,2,0.46256176358798934,0.059931208001216874
packaged,DeepCrack_11294.jpg,0.5,517,190,2381,2898,707,1,0.16742227979274613,0.059931208001216874
packaged,DeepCrack_IMG33-16.jpg,0.1,2879,1136,771,3650,4015,1,0.6015461763476807,0.060365290999470744
packaged,DeepCrack_IMG33-16.jpg,0.25,2879,1136,771,3650,4015,1,0.6015461763476807,0.060365290999470744
packaged,DeepCrack_IMG33-16.jpg,0.5,2879,1136,771,3650,4015,1,0.6015461763476807,0.060365290999470744
packaged,DeepCrack_IMG_6537-1.jpg,0.1,4478,1154,669,5147,5632,6,0.7106808443104269,0.06464670799323358
packaged,DeepCrack_IMG_6537-1.jpg,0.25,4477,1154,670,5147,5631,5,0.7105221393429615,0.06464670799323358
packaged,DeepCrack_IMG_6537-1.jpg,0.5,4021,1012,1126,5147,5033,2,0.6528657249553499,0.06464670799323358
packaged,GAPS384_train_0698_1_641.jpg,0.1,1189,314,1683,2872,1503,3,0.3731952291274325,0.061673040996538475
packaged,GAPS384_train_0698_1_641.jpg,0.25,420,98,2452,2872,518,1,0.1414141414141414,0.061673040996538475
packaged,GAPS384_train_0698_1_641.jpg,0.5,0,0,2872,2872,0,0,0.0,0.061673040996538475
packaged,GAPS384_train_0799_541_1.jpg,0.1,1362,959,194,1556,2321,7,0.5415506958250497,0.06137375000253087
packaged,GAPS384_train_0799_541_1.jpg,0.25,305,199,1251,1556,504,1,0.1737891737891738,0.06137375000253087
packaged,GAPS384_train_0799_541_1.jpg,0.5,0,0,1556,1556,0,0,0.0,0.06137375000253087
packaged,GAPS384_train_1128_541_1.jpg,0.1,0,0,3036,3036,0,0,0.0,0.06063170799461659
packaged,GAPS384_train_1128_541_1.jpg,0.25,0,0,3036,3036,0,0,0.0,0.06063170799461659
packaged,GAPS384_train_1128_541_1.jpg,0.5,0,0,3036,3036,0,0,0.0,0.06063170799461659
packaged,Rissbilder_for_Florian_9S6A2783_96_1214_3516_4173.jpg,0.1,5446,3249,1924,7370,8695,5,0.5128543177323666,0.06293970799742965
packaged,Rissbilder_for_Florian_9S6A2783_96_1214_3516_4173.jpg,0.25,5446,3249,1924,7370,8695,5,0.5128543177323666,0.06293970799742965
packaged,Rissbilder_for_Florian_9S6A2783_96_1214_3516_4173.jpg,0.5,5446,3249,1924,7370,8695,5,0.5128543177323666,0.06293970799742965
packaged,Rissbilder_for_Florian_9S6A2785_493_901_3299_3768.jpg,0.1,6630,6205,2970,9600,12835,33,0.4194875039544448,0.0713980000000447
packaged,Rissbilder_for_Florian_9S6A2785_493_901_3299_3768.jpg,0.25,5496,4349,4104,9600,9845,15,0.394006738834325,0.0713980000000447
